id,project_id,calculation_timestamp,metrics_period_start,metrics_period_end,year_week,lead_time,deployment_frequency,change_failure_rate,mttr,cycle_time,throughput,wip,bug_rate,velocity,code_coverage,data_source,project_phase,git_coverage_pct
CMIG_2025-W41,CMIG,2026-04-18 14:09:48,2025-10-06,2025-10-12,2025-W41,4620.07,,,,0.0,0,0,0.0,1,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W42,CMIG,2026-04-18 14:09:48,2025-10-13,2025-10-19,2025-W42,4476.07,,,,0.0,0,1,0.0,2,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W43,CMIG,2026-04-18 14:09:48,2025-10-20,2025-10-26,2025-W43,4284.07,,,,0.0,0,0,0.0,3,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W44,CMIG,2026-04-18 14:09:48,2025-10-27,2025-11-02,2025-W44,4140.07,,,,0.0,0,2,0.0,2,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W45,CMIG,2026-04-18 14:09:48,2025-11-03,2025-11-09,2025-W45,3924.07,,,,0.0,0,1,0.0,2,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W46,CMIG,2026-04-18 14:09:48,2025-11-10,2025-11-16,2025-W46,3762.07,,,,0.0,0,3,0.0,4,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W47,CMIG,2026-04-18 14:09:48,2025-11-17,2025-11-23,2025-W47,3516.07,,,,,0,1,0.0,1,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W48,CMIG,2026-04-18 14:09:48,2025-11-24,2025-11-30,2025-W48,3408.07,,,,0.0,0,0,0.0,2,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W49,CMIG,2026-04-18 14:09:48,2025-12-01,2025-12-07,2025-W49,3288.07,,,,0.0,0,1,0.0,2,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W51,CMIG,2026-04-18 14:09:48,2025-12-15,2025-12-21,2025-W51,2964.07,,,,0.0,0,3,0.0,4,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W52,CMIG,2026-04-18 14:09:48,2025-12-22,2025-12-28,2025-W52,2748.07,,,,0.0,0,1,0.0,3,,jira_only,Phase 1 - Jira only,0.0
CMIG_2026-W01,CMIG,2026-04-18 14:09:48,2025-12-29,2026-01-04,2026-W01,2544.07,,,,0.0,0,0,0.0,2,,jira_only,Phase 1 - Jira only,0.0
CMIG_2026-W02,CMIG,2026-04-18 14:09:48,2026-01-05,2026-01-11,2026-W02,2400.07,,,,0.0,0,1,0.0,2,,jira_only,Phase 1 - Jira only,0.0
CMIG_2026-W03,CMIG,2026-04-18 14:09:48,2026-01-12,2026-01-18,2026-W03,2220.07,,,,0.0,0,1,0.0,1,,jira_only,Phase 1 - Jira only,0.0
